TIME,PDCSAP_FLUX
3203.9289416465326,15297.711
3203.949373299489,15291.812
3203.969805052322,15290.474
3203.990236605161,15302.454
3204.0106683577687,15333.887
3204.0311000103684,15293.619
3204.0515316627425,15299.921
3204.0719633151166,15286.816
3204.092394967367,15301.106
3204.112826619392,15290.484
3204.1332582714167,15297.554
3204.153689923318,15309.512
3204.174122,15289.931
3204.1945533267863,15297.75
3204.2149848783374,15299.416
3204.235417,15292.207
3204.2558482811073,15302.993
3204.2762798324256,15291.024
3204.296711483519,15297.935
3204.317143234497,15293.184
3204.337574785466,15284.559
3204.358006536211,15291.717
3204.378438186948,15286.46
3204.3988697375753,15282.614
3204.419301487971,15286.468
3204.439733138366,15291.994
3204.4601646886367,15295.224
3204.4805964387997,15292.164
3204.501028088838,15292.7295
3204.5214596388832,15314.523
3204.541891388697,15288.427
3204.5623230383935,15285.944
3204.582754588082,15291.866
3204.603186337663,15275.408
3204.623617987003,15293.026
3204.6440495363495,15277.405
3204.664481285581,15280.9375
3204.6849129346956,15280.355
3204.705344683687,15285.533
3204.725776232568,15296.278
3204.7462078814424,15289.703
3204.766639630092,15291.701
3204.787071,15281.138
3204.807502827156,15286.069
3204.8279345755655,15284.795
3204.8483661238643,15293.489
3204.868798,15281.418
3204.8892295201076,15282.501
3204.9096610681736,15288.856
3204.9300927160075,
3204.950524463835,15293.93
3204.9709560115516,15287.981
3204.9913877590297,15286.631
3205.0118194065144,15287.094
3205.032251053999,15294.364
3205.0526827012436,15298.366
3205.073114348379,15296.57
3205.0935459955144,15288.837
3205.1139776424097,15295.916
3205.1344092893123,15303.545
3205.1548409360985,15293.278
3205.175272582761,15297.245
3205.1957042294307,15283.715
3205.2161358758676,15293.804
3205.236567622298,15293.024
3205.2569991686178,15296.421
3205.277430714821,15288.548
3205.2978624609023,15294.97
3205.3182941068735,15296.255
3205.338725852729,15287.5625
3205.359157398576,15293.636
3205.3795890443143,15288.846
3205.4000207898207,15295.144
3205.4204523353183,
3205.440883980824,15278.406
3205.4613157260974,15279.232
3205.481747271362,15273.885
3205.5021789165185,15283.483
3205.522610661559,15286.68
3205.5430423064754,15276.745
3205.5634738512817,15276.809
3205.5839055960896,15275.349
3205.6043372406566,15278.082
3205.624769,15269.876
3205.6452005296887,15276.997
3205.6656321741393,15276.656
3205.686063918365,15275.771
3205.7064954625894,15281.843
3205.7269271066907,15280.905
3205.7473588506837,15276.912
